phantom,algorithm,n_angles,noise,rmse,ssim,dice
phantom_003.npy,FBP,10,0.05,0.13058639149126733,0.24709878586453338,0.4025836793991303
phantom_003.npy,SIRT,10,0.05,0.02932672093258083,0.5902725876974508,0.9497117793115518
phantom_003.npy,SIRT-TV,10,0.05,0.026871540218164205,0.6669227902814241,0.960247160315001
phantom_003.npy,FBP,30,0.0,0.02761364072963901,0.5201890962913946,0.9217526638258774
phantom_003.npy,SIRT,30,0.0,0.016952800987069975,0.7931394266084543,0.9896114731757966
phantom_003.npy,SIRT-TV,30,0.0,0.011098560403887636,0.9390214674002952,0.9975412571473191
phantom_003.npy,FBP,30,0.01,0.03148982853630094,0.46199344825158295,0.8950051504426939
phantom_003.npy,SIRT,30,0.01,0.01720595819194213,0.7850306292370681,0.9894250283316274
phantom_003.npy,SIRT-TV,30,0.01,0.011398436761655287,0.933770810144002,0.9972266255107686
phantom_003.npy,FBP,30,0.05,0.07611261107621288,0.28243100680451094,0.5541120754786518
phantom_003.npy,SIRT,30,0.05,0.022410416667432542,0.6587440312505369,0.9675106559235828
phantom_003.npy,SIRT-TV,30,0.05,0.015025626986385422,0.8556389667150535,0.9886565636240392
phantom_003.npy,FBP,90,0.0,0.013706610835058709,0.7197637879337225,0.9806898381137052
phantom_003.npy,SIRT,90,0.0,0.01023640754339385,0.9242895670295364,0.9989840253807579
phantom_003.npy,SIRT-TV,90,0.0,0.008239740660795216,0.9650796927871605,0.9990850052444822
phantom_003.npy,FBP,90,0.01,0.016565363558195503,0.6517166925230866,0.9699692532588003
phantom_003.npy,SIRT,90,0.01,0.011043556571590696,0.8984983312594264,0.9983267040536944
phantom_003.npy,SIRT-TV,90,0.01,0.00829356237952603,0.964150742586236,0.9989984944870701
phantom_003.npy,FBP,90,0.05,0.04550274313340925,0.3544954289597336,0.7449154521868978
phantom_003.npy,SIRT,90,0.05,0.023017446973084593,0.6449655885609851,0.9602169415010345
phantom_003.npy,SIRT-TV,90,0.05,0.010156190139575944,0.922452565225703,0.9955530607674014
phantom_003.npy,FBP,180,0.0,0.009027849146809083,0.8273440204635618,0.9967412990261171
phantom_003.npy,SIRT,180,0.0,0.008056961693936129,0.9565123344256021,0.9996872574150708
phantom_003.npy,SIRT-TV,180,0.0,0.008033276946486352,0.9656511125760048,0.999293161335925
phantom_003.npy,FBP,180,0.01,0.01131366021122823,0.764853487095233,0.9909176942262418
phantom_003.npy,SIRT,180,0.01,0.008982171236176496,0.9289511433212609,0.9994349940660414
phantom_003.npy,SIRT-TV,180,0.01,0.008053170837153283,0.9652913198996568,0.999214144286829
phantom_003.npy,FBP,180,0.05,0.03329254346485198,0.42742988835894824,0.8509026856943577
phantom_003.npy,SIRT,180,0.05,0.02140098161764216,0.6723878029441862,0.9663917281075227
phantom_003.npy,SIRT-TV,180,0.05,0.008968023328014057,0.9441129297551102,0.9974798204360441
phantom_004.npy,FBP,10,0.0,0.03937397679376109,0.45875429744314566,0.8334644332104375
phantom_004.npy,SIRT,10,0.0,0.020982959579305314,0.652343010367273,0.9699162485839132
phantom_004.npy,SIRT-TV,10,0.0,0.01775360042927093,0.7470617628458447,0.9806416539613896
phantom_004.npy,FBP,10,0.01,0.04450836679225891,0.39757232856908464,0.7702265702723297
phantom_004.npy,SIRT,10,0.01,0.02102740307343947,0.650897177295054,0.969429232424387
phantom_004.npy,SIRT-TV,10,0.01,0.01790913230276038,0.7445575525914983,0.9798650585962048
phantom_004.npy,FBP,10,0.05,0.10269371919058688,0.2767528269919032,0.4775328063957565
phantom_004.npy,SIRT,10,0.05,0.022041261760769277,0.6202559625192754,0.9614942239321577
phantom_004.npy,SIRT-TV,10,0.05,0.019799119864002054,0.6884206752570571,0.9725904085733967
phantom_004.npy,FBP,30,0.0,0.020299259019494507,0.5541477661318995,0.9517616951581533
phantom_004.npy,SIRT,30,0.0,0.012277950154576176,0.8318906288408472,0.9956682824986695
phantom_004.npy,SIRT-TV,30,0.0,0.007425135862559772,0.9619400158310154,0.998886502577731
phantom_004.npy,FBP,30,0.01,0.02389601633056219,0.49392725176291435,0.9245289959474953
phantom_004.npy,SIRT,30,0.01,0.012505482824178987,0.8236472627197821,0.995463694658873
