phantom,algorithm,n_angles,noise,rmse,ssim,dice
phantom_009.npy,SIRT,30,0.0,0.01803590081485919,0.7692506126608951,0.9895600643808223
phantom_009.npy,FBP,60,0.0,0.01811659858576773,0.6206310686650439,0.9399413610029665
phantom_009.npy,SIRT,60,0.0,0.013158156434519397,0.8764648724638715,0.9971259645547801
phantom_009.npy,FBP,90,0.0,0.013701812369526776,0.6946243802234704,0.9763378927330887
phantom_009.npy,SIRT,90,0.0,0.010794030218910896,0.9172808540789699,0.9989825524788721
phantom_009.npy,FBP,120,0.0,0.011151917363463748,0.7475954352638652,0.9908510781218512
phantom_009.npy,SIRT,120,0.0,0.009546799199800393,0.9377179414108582,0.999471942376016
phantom_009.npy,FBP,180,0.0,0.008689447287344871,0.8160397249602022,0.9969935101287607
phantom_009.npy,SIRT,180,0.0,0.008461289904847291,0.9571796937873485,0.9996483667303825
phantom_010.npy,FBP,5,0.0,0.046898585722344795,0.37523882925546254,0.7838570578325468
phantom_010.npy,SIRT,5,0.0,0.026080898759572455,0.5832184732466684,0.9598873091767859
phantom_010.npy,FBP,10,0.0,0.04689858864619194,0.37523874139731805,0.7838581528609657
phantom_010.npy,SIRT,10,0.0,0.026080901058176932,0.5832184335111013,0.9598881422835708
phantom_010.npy,FBP,20,0.0,0.03073207793730258,0.4173270422697061,0.8858200109549667
phantom_010.npy,SIRT,20,0.0,0.018949532459949153,0.6878115081821142,0.9843230186501716
phantom_010.npy,FBP,30,0.0,0.024195836351633828,0.46433808265914267,0.9277187379155268
phantom_010.npy,SIRT,30,0.0,0.01512321057152075,0.7764347917302998,0.9920582313877503
phantom_010.npy,FBP,60,0.0,0.015468351196001748,0.5999435493361657,0.9774512301401086
phantom_010.npy,SIRT,60,0.0,0.010914074480336192,0.8943560717753505,0.9970959043644839
phantom_010.npy,FBP,90,0.0,0.012084048516564857,0.6914733396918635,0.9921373019965322
phantom_010.npy,SIRT,90,0.0,0.00913104696917746,0.9272485921286493,0.9984261116252796
phantom_010.npy,FBP,120,0.0,0.01007834087183922,0.7511744863951687,0.9963080638439592
phantom_010.npy,SIRT,120,0.0,0.008156645805281058,0.9441581567863933,0.9989708038928143
