phantom,n_angles,noise,n_iter,rmse,ssim,dice
phantom_015.npy,180,0.0,10,0.018569867885254675,0.8565649310125689,0.9960742870025927
phantom_015.npy,180,0.0,25,0.012551298161579133,0.9380335650831018,0.9982031104777248
phantom_015.npy,180,0.0,50,0.00933408209421237,0.9626155032699708,0.9992704102041161
phantom_015.npy,180,0.0,100,0.007319907151516007,0.9668969660158377,0.9995547828439232
phantom_015.npy,180,0.0,200,0.00639932026963779,0.9635310524036824,0.9995843765013518
phantom_015.npy,180,0.0,500,0.006074255113526684,0.9599317147290551,0.9994603102581915
phantom_016.npy,180,0.0,5,0.023300896638526615,0.7018594589383537,0.9869622150571307
phantom_016.npy,180,0.0,10,0.017796844184021148,0.8170880961597762,0.995306454703125
phantom_016.npy,180,0.0,25,0.011909873313864722,0.9180002548421355,0.9978851253143665
phantom_016.npy,180,0.0,50,0.008818300039190916,0.9536208530273733,0.9990850463969047
phantom_016.npy,180,0.0,100,0.006993347303425827,0.9627318532534042,0.9994169413285883
phantom_016.npy,180,0.0,200,0.0061838650565364,0.9614158284942493,0.9994349047547577
phantom_016.npy,180,0.0,500,0.005885118078402169,0.9589673749964879,0.9994057894238575
phantom_017.npy,180,0.0,5,0.02046070473790606,0.7436355100137618,0.9831020185621457
phantom_017.npy,180,0.0,10,0.015410377466184202,0.8516099214859005,0.9952578850331619
phantom_017.npy,180,0.0,25,0.010319456924195223,0.9387481336616093,0.9992657492657493
phantom_017.npy,180,0.0,50,0.007688092417914809,0.9660221232382161,0.9995901492791853
phantom_017.npy,180,0.0,100,0.006069762464628613,0.9723542477745319,0.9997042376553612
phantom_017.npy,180,0.0,200,0.005348307628710434,0.9709726836211603,0.9996794488170561
phantom_017.npy,180,0.0,500,0.005092875153656169,0.9688187618516217,0.999658820454264
phantom_018.npy,180,0.0,5,0.01979801211039176,0.717542744228048,0.9867288890528136
phantom_018.npy,180,0.0,10,0.015145757559722103,0.8260928221296617,0.9936670290614625
phantom_018.npy,180,0.0,25,0.010385512570692845,0.9203209113489322,0.9988241864840236
phantom_018.npy,180,0.0,50,0.007797181499353061,0.9557070750743433,0.9994969567353374
phantom_018.npy,180,0.0,100,0.00620700324109412,0.9661363156297766,0.9995653764987398
phantom_018.npy,180,0.0,200,0.0054644191509364065,0.9665722988875045,0.9994995702191294
phantom_018.npy,180,0.0,500,0.005178712294333385,0.9652605044643139,0.9994357129889057
phantom_019.npy,180,0.0,5,0.031469767174893304,0.8261447476046302,0.07500401397628313
phantom_019.npy,180,0.0,10,0.023967259597472756,0.9040049299023367,0.07526532574151865
phantom_019.npy,180,0.0,25,0.016046705302641937,0.9608521585186931,0.07459796970265216
phantom_019.npy,180,0.0,50,0.011854572164690548,0.9773834273678328,0.9838698882270263
phantom_019.npy,180,0.0,100,0.009256981868088274,0.9809201696460035,0.9978968792401628
phantom_019.npy,180,0.0,200,0.008113298252035092,0.979497991418273,0.9993206521739131
phantom_019.npy,180,0.0,500,0.007711986278888781,0.9776765853788965,0.999422495498862
phantom_020.npy,180,0.0,5,0.02373255117200418,0.7429393986980284,0.9865333536348103
phantom_020.npy,180,0.0,10,0.017501613064258716,0.8468428706075901,0.9961568809581415
phantom_020.npy,180,0.0,25,0.011357443226994259,0.932528166465814,0.9992028148546628
phantom_020.npy,180,0.0,50,0.008428309665715715,0.9612483908136402,0.9996689330149248
phantom_020.npy,180,0.0,100,0.006690153763002001,0.9677747187474981,0.999756571948812
phantom_020.npy,180,0.0,200,0.005921891206483788,0.9661218630504076,0.9997675338506009
phantom_020.npy,180,0.0,500,0.0056426277441014635,0.9637906292905495,0.9997529100020327
